2023/08/11	16/30/21	92511206-0fba-49a0-b7ce-9b25b18eca35GET	undefined	/css/style.css
2023/08/11	16/30/21	c954a96d-8c69-4445-a19a-60e2f83b0d6eGET	undefined	/index
2023/08/11	16/30/42	54873014-c453-44b2-8aa0-5d0e1039226bGET	undefined	/index
2023/08/11	16/30/42	d0bfcc4e-495b-467b-835e-fdd59b5c2196GET	undefined	/css/style.css
2023/08/16	00/07/12	37a34a8a-f7d1-4a6c-985c-9bc88467b84eGET	undefined	/
2023/08/16	00/07/12	f9e44080-7245-485a-8973-756df04a2f57GET	undefined	/css/style.css
2023/08/16	00/07/12	46c9652b-fe21-4d71-ae49-0578585b786fGET	undefined	/favicon.ico
2023/08/16	00/07/46	8cf2ffbb-07b4-451d-be4d-b1b5a7dac637OPTIONS	undefined	/
2023/08/16	00/07/46	0cece8b3-5154-4c3e-9158-c6dc50e7a339GET	undefined	/
2023/08/16	00/08/25	927662f8-82ac-4bc1-85f9-b18898ee5616OPTIONS	undefined	/
2023/08/16	00/08/25	4f74e75c-7658-4728-9e15-7cf216988937GET	undefined	/
2023/08/16	00/11/56	3df6a1e0-45ca-4763-8cff-41591ff25250OPTIONS	https://www.google.com	/
2023/08/16	00/11/56	ca56d776-add6-4697-ba56-3a8908904969GET	https://www.google.com	/
2023/08/16	00/12/45	1587cf6e-c035-4bb9-9b1a-077afd434386	OPTIONS	https://www.google.com	/
2023/08/16	00/12/45	96c99584-1d7a-44cb-af54-896705ab9d24	GET	https://www.google.com	/
2023/08/16	00/20/30	8e400a0e-b9d9-481f-ad5b-4c1a4f8992c8	OPTIONS	https://www.google.com	/
2023/08/16	00/20/30	2d405200-ebdc-4c10-a8e9-13beadc052b5	GET	https://www.google.com	/
2023/08/16	00/53/09	b2464c68-77d6-470f-904e-9b64da4099ed	OPTIONS	https://www.google.com	/
2023/08/16	00/53/09	c21f55d4-853c-40a2-80c2-bb4387339c35	GET	https://www.google.com	/
2023/08/16	01/11/24	9df6d119-26a5-49b6-86b6-565659585855	OPTIONS	https://www.google.com	/
2023/08/16	01/11/24	21d47e4b-760b-424d-9c5c-1b352549925b	GET	https://www.google.com	/
2023/08/16	01/11/33	212dc368-4788-4698-be53-30ddf6070a6a	GET	undefined	/
2023/08/16	01/11/34	ee92a24d-d445-49a9-b050-c3b7e68977ec	GET	undefined	/css/style.css
2023/08/16	01/13/13	e5b229be-5538-41ef-beb8-9a40e9787fac	GET	undefined	/
2023/08/16	01/13/14	7eb46384-7d54-44fe-8d78-74262f052d6f	GET	undefined	/css/style.css
2023/08/16	01/13/43	0fa0b525-e242-46a6-915e-ab58be791a81	GET	undefined	/
2023/08/16	01/13/43	1adb67ad-9176-4bb8-ab4d-501b7b1a943f	GET	undefined	/css/style.css
2023/08/16	01/13/52	b95fce30-9271-4960-a168-1982568bc2fa	OPTIONS	https://www.google.com	/
